x,y
-10,-5.4402111088937
-9.9,-4.52960534837568
-9.8,-3.5914954666689
-9.7,-2.63607807618614
-9.6,-1.6735370997406
-9.5,-0.713935644387188
-9.4,0.232888999261563
-9.3,1.15742613861567
-9.2,2.05058720972228
-9.1,2.9037950973791
-9,3.70906636717581
-8.9,4.45908562247517
-8.8,5.1472712974475
-8.7,5.767832301715
-8.6,6.31581504171737
-8.5,6.78714045729967
-8.4,7.17863082794156
-8.3,7.48802622017724
-8.2,7.71399056477414
-8.1,7.8561074678452
-8,7.91486597298705
-7.9,7.8916366005342
-7.8,7.78863809392192
-7.7,7.6088954008529
-7.6,7.3561895074393
-7.5,7.03499982581054
-7.4,6.65043990900604
-7.3,6.20818733058852
-7.2,5.7144086197139
-7.1,5.17568018489372
-7,4.59890619103152
-6.9,3.99123437427858
-6.8,3.35997078774254
-6.7,2.7124944681312
-6.6,2.05617299918829
-6.5,1.3982799225708
-6.4,0.745914911043159
-6.3,0.105927573051403
-6.2,-0.515154297468483
-6.1,-1.11119127605978
-6,-1.67649298919356
-5.9,-2.2058723224984
-5.8,-2.69469264059979
-5.7,-3.13890759280653
-5.6,-3.535093172085
-5.5,-3.88047179063716
-5.4,-4.17292823280233
-5.3,-4.41101744378668
-5.2,-4.5939642097448
-5.1,-4.72165487987144
-5,-4.79462137331569
-4.9,-4.81401780185923
-4.8,-4.78159012241204
-4.7,-4.69963931055127
-4.6,-4.57097861671394
-4.5,-4.39888552949294
-4.4,-4.18704912511387
-4.3,-3.93951352802266
-4.2,-3.66061824413707
-4.1,-3.35493615536408
-4,-3.02720998123171
-3.9,-2.6822880208175
-3.8,-2.32505998558233
-3.7,-1.96039372136142
-3.6,-1.59307359586147
-3.5,-1.22774129691367
-3.4,-0.868839746891225
-3.3,-0.520560790672719
-3.2,-0.186797258968253
-3.1,0.128900053543202
-3,0.423360024179602
-2.9,0.69382305472055
-2.8,0.937966820436534
-2.7,1.15392567663134
-2.6,1.34030356673581
-2.5,1.49618036025989
-2.4,1.62111163332276
-2.3,1.71512198800646
-2.2,1.7786920884031
-2.1,1.81273966996264
-2,1.81859485365136
-1.9,1.79797016660609
-1.8,1.75292573558075
-1.7,1.6858301777692
-1.6,1.59931776486641
-1.5,1.49624247990608
-1.4,1.37962962198384
-1.3,1.25262564104235
-1.2,1.11844690316067
-1.1,0.980328096067579
-1,0.841470984807897
-0.9,0.704994218664736
-0.799999999999999,0.573884872719617
-0.699999999999999,0.450952381066383
-0.6,0.338785484037021
-0.5,0.239712769302102
-0.399999999999999,0.155767336923459
-0.299999999999999,0.0886560619984013
-0.199999999999999,0.039733866159012
-0.0999999999999996,0.00998334166468274
0,0
0.100000000000001,0.0099833416646831
0.200000000000001,0.0397338661590127
0.300000000000001,0.0886560619984023
0.4,0.15576733692346
0.5,0.239712769302102
0.600000000000001,0.338785484037023
0.700000000000001,0.450952381066385
0.800000000000001,0.573884872719619
0.9,0.704994218664736
1,0.841470984807897
1.1,0.980328096067581
1.2,1.11844690316067
1.3,1.25262564104235
1.4,1.37962962198384
1.5,1.49624247990608
1.6,1.59931776486641
1.7,1.6858301777692
1.8,1.75292573558075
1.9,1.79797016660609
2,1.81859485365136
2.1,1.81273966996263
2.2,1.7786920884031
2.3,1.71512198800646
2.4,1.62111163332276
2.5,1.49618036025989
2.6,1.3403035667358
2.7,1.15392567663134
2.8,0.937966820436532
2.9,0.693823054720548
3,0.423360024179602
3.1,0.128900053543196
3.2,-0.186797258968259
3.3,-0.520560790672722
3.4,-0.868839746891228
3.5,-1.22774129691367
3.6,-1.59307359586147
3.7,-1.96039372136143
3.8,-2.32505998558234
3.9,-2.6822880208175
4,-3.02720998123171
4.1,-3.35493615536409
4.2,-3.66061824413707
4.3,-3.93951352802266
4.4,-4.18704912511387
4.5,-4.39888552949294
4.6,-4.57097861671394
4.7,-4.69963931055128
4.8,-4.78159012241204
4.9,-4.81401780185923
5,-4.79462137331569
5.1,-4.72165487987143
5.2,-4.5939642097448
5.3,-4.41101744378668
5.4,-4.17292823280233
5.5,-3.88047179063716
5.6,-3.53509317208499
5.7,-3.13890759280653
5.8,-2.69469264059979
5.9,-2.20587232249839
6,-1.67649298919356
6.1,-1.11119127605977
6.2,-0.515154297468483
6.3,0.105927573051409
6.4,0.745914911043171
6.5,1.3982799225708
6.6,2.05617299918831
6.7,2.7124944681312
6.8,3.35997078774254
6.9,3.99123437427859
7,4.59890619103152
7.1,5.17568018489373
7.2,5.7144086197139
7.3,6.20818733058852
7.4,6.65043990900605
7.5,7.03499982581054
7.6,7.3561895074393
7.7,7.6088954008529
7.8,7.78863809392192
7.9,7.8916366005342
8,7.91486597298705
8.1,7.8561074678452
8.2,7.71399056477414
8.3,7.48802622017724
8.4,7.17863082794155
8.5,6.78714045729967
8.6,6.31581504171737
8.7,5.767832301715
8.8,5.1472712974475
8.9,4.45908562247516
9,3.70906636717581
9.1,2.90379509737909
9.2,2.05058720972225
9.3,1.15742613861567
9.4,0.232888999261546
9.5,-0.713935644387188
9.6,-1.67353709974062
9.7,-2.63607807618618
9.8,-3.5914954666689
9.9,-4.5296053483757
10,-5.4402111088937
